iter	Passed	Remaining
0	54	54763
1	55	27543
2	55	18474
3	55	13925
4	56	11195
5	56	9376
6	56	8078
7	57	7103
8	57	6344
9	57	5737
10	58	5240
11	58	4831
12	59	4488
13	59	4190
14	59	3933
15	60	3712
16	60	3512
17	61	3331
18	61	3170
19	61	3025
20	62	2894
21	62	2775
22	62	2667
23	63	2567
24	63	2475
25	63	2389
26	64	2311
27	64	2237
28	64	2169
29	65	2105
30	65	2045
31	65	1993
32	66	1944
33	66	1896
34	67	1848
35	67	1805
36	67	1763
37	68	1723
38	68	1685
39	68	1649
40	69	1615
41	69	1583
42	69	1552
43	70	1522
44	70	1494
45	70	1467
46	71	1441
47	71	1416
48	72	1404
49	72	1383
50	73	1361
51	73	1342
52	74	1322
53	74	1303
54	74	1285
55	75	1268
56	75	1251
57	76	1234
58	76	1217
59	76	1201
60	77	1185
61	77	1171
62	77	1156
63	78	1141
64	78	1128
65	78	1115
66	79	1101
67	79	1088
68	79	1077
69	80	1065
70	80	1055
71	81	1044
72	81	1034
73	81	1023
74	82	1012
75	82	1002
76	82	992
77	83	982
78	83	973
79	83	964
80	84	956
81	84	947
82	84	937
83	85	931
84	85	924
85	86	917
86	86	910
87	87	904
88	87	897
89	88	894
90	89	889
91	89	884
92	90	878
93	90	871
94	90	864
95	91	858
96	91	851
97	91	844
98	92	838
99	92	832
100	92	826
101	93	820
102	93	814
103	93	808
104	94	802
105	94	797
106	94	792
107	95	789
108	96	785
109	96	780
110	96	775
111	97	771
112	97	767
113	98	762
114	98	757
115	98	753
116	99	748
117	99	743
118	99	739
119	100	734
120	100	731
121	101	727
122	101	724
123	102	721
124	102	718
125	103	715
126	103	711
127	104	708
128	104	705
129	104	701
130	105	697
131	105	693
132	105	690
133	106	686
134	106	682
135	106	679
136	107	675
137	107	672
138	107	668
139	108	665
140	108	662
141	108	658
142	109	654
143	109	651
144	109	648
145	110	645
146	110	642
147	111	640
148	111	638
149	112	636
150	112	633
151	113	631
152	113	628
153	114	626
154	114	623
155	114	621
156	115	618
157	115	615
158	116	613
159	116	611
160	116	608
161	117	606
162	117	603
163	117	601
164	118	598
165	118	596
166	119	594
167	119	592
168	119	589
169	120	587
170	120	584
171	121	582
172	121	580
173	121	577
174	122	575
175	122	573
176	122	570
177	123	569
178	123	567
179	124	565
180	124	563
181	124	561
182	125	560
183	126	559
184	126	558
185	127	557
186	127	555
187	128	554
188	128	552
189	129	551
190	129	549
191	130	547
192	130	545
193	130	543
194	131	541
195	131	539
196	131	537
197	132	535
198	132	533
199	133	532
200	133	531
201	133	529
202	134	527
203	134	525
204	135	524
205	135	522
206	135	520
207	136	518
208	136	516
209	137	515
210	137	514
211	137	512
212	138	512
213	139	511
214	139	509
215	140	508
216	140	506
217	140	505
218	141	504
219	141	503
220	142	501
221	142	500
222	143	498
223	143	497
224	143	495
225	144	494
226	144	492
227	145	491
228	145	490
229	146	489
230	146	487
231	147	486
232	147	485
233	147	484
234	148	482
235	148	481
236	148	479
237	149	478
238	149	477
239	150	475
240	150	474
241	151	473
242	151	471
243	152	471
244	152	470
245	153	470
246	154	469
247	154	468
248	155	468
249	156	468
250	156	467
251	156	465
252	157	464
253	157	463
254	158	462
255	158	462
256	159	461
257	160	461
258	160	460
259	161	459
260	161	458
261	162	458
262	163	457
263	163	456
264	164	456
265	165	455
266	165	454
267	165	453
268	166	453
269	167	451
270	167	450
271	167	449
272	168	448
273	168	447
274	169	446
275	169	444
276	169	443
277	170	442
278	170	441
279	171	439
280	171	438
281	171	437
282	172	436
283	172	436
284	173	435
285	174	435
286	174	434
287	175	434
288	175	432
289	176	431
290	176	430
291	177	430
292	177	428
293	178	427
294	178	426
295	178	425
296	179	423
297	179	422
298	180	422
299	180	421
300	181	420
301	181	419
302	181	418
303	182	417
304	182	416
305	183	415
306	183	414
307	184	414
308	184	413
309	185	412
310	185	410
311	185	409
312	186	408
313	186	407
314	186	406
315	187	405
316	187	404
317	188	403
318	188	402
319	189	401
320	189	400
321	190	400
322	190	399
323	190	398
324	191	397
325	191	395
326	191	395
327	192	394
328	192	392
329	193	391
330	193	390
331	193	389
332	193	388
333	194	387
334	194	386
335	194	385
336	195	384
337	196	384
338	196	383
339	196	382
340	197	381
341	197	380
342	198	379
343	198	378
344	198	377
345	198	376
346	199	375
347	199	374
348	200	373
349	200	372
350	200	371
351	201	370
352	201	369
353	201	368
354	202	367
355	202	366
356	202	365
357	203	364
358	203	363
359	204	363
360	204	362
361	205	361
362	205	360
363	206	360
364	206	359
365	206	358
366	207	357
367	207	356
368	208	355
369	208	354
370	208	353
371	209	353
372	209	352
373	210	351
374	210	350
375	211	350
376	211	349
377	211	348
378	212	347
379	212	346
380	213	346
381	213	345
382	213	344
383	214	343
384	214	342
385	214	341
386	215	340
387	215	340
388	216	339
389	216	338
390	216	337
391	217	337
392	217	336
393	218	335
394	218	334
395	219	334
396	219	333
397	220	333
398	220	332
399	220	331
400	221	330
401	221	329
402	221	328
403	222	328
404	222	327
405	223	326
406	223	325
407	223	324
408	224	324
409	224	323
410	225	322
411	225	322
412	226	321
413	226	320
414	226	319
415	227	319
416	227	318
417	227	317
418	228	316
419	228	315
420	228	314
421	229	314
422	229	313
423	230	312
424	230	312
425	231	311
426	231	310
427	231	309
428	232	308
429	232	308
430	233	307
431	233	306
432	234	306
433	234	305
434	234	305
435	235	304
436	235	303
437	236	303
438	236	302
439	236	301
440	237	300
441	237	300
442	238	299
443	238	298
444	238	298
445	239	297
